,balls,bikes,blocks,books,coals,dolls,gloves,horses,trains,expected_weight
0,3,0,0,3,0,0,0,0,3,31.3912711162
1,1,1,0,4,0,3,3,1,1,5.51310112158
2,1,0,1,3,1,0,3,1,1,12.468313871
3,2,1,1,1,2,0,5,2,1,0.19058378745
4,1,0,0,6,0,2,4,1,2,14.747032921
5,2,0,0,3,0,6,1,1,1,10.6342178041
6,5,1,0,6,1,0,5,0,1,2.07702764843
7,4,2,0,3,4,2,3,1,0,0.0
8,2,0,0,3,0,0,3,1,3,22.6758605058
9,5,1,0,4,0,1,5,2,0,9.1720227226
10,2,2,0,1,1,4,6,2,0,0.0485449092415
11,3,1,0,5,2,0,3,1,1,0.757914744725
12,1,0,0,2,1,0,3,1,3,8.42806243042
13,2,0,0,2,0,3,3,3,0,36.8199752808
14,1,0,0,2,2,3,2,0,2,2.54682040558
15,2,1,0,1,1,1,2,0,2,3.65281412802
16,5,1,0,3,2,1,2,2,0,1.37313596876
17,1,1,0,1,0,2,4,1,1,14.1437512141
18,8,2,0,7,2,1,3,0,0,0.0
19,1,0,0,7,1,1,4,2,2,2.26382542121
20,0,1,0,2,0,1,7,1,0,27.2640434528
21,6,0,1,5,0,1,3,1,0,28.3125612729
22,4,0,1,2,0,0,8,3,1,4.6805525764
23,2,0,0,4,0,0,1,3,4,2.31103561697
24,2,1,1,3,2,1,4,0,1,0.178455095342
25,4,1,0,2,1,1,3,0,0,10.8888181054
26,1,0,0,2,1,0,4,2,0,17.6362274363
27,1,1,0,2,0,0,2,0,0,27.9460169757
28,2,1,1,1,0,0,4,1,1,11.0510851261
29,1,1,0,6,0,2,2,3,0,7.30059380222
30,6,0,0,2,1,0,8,1,2,3.34339311531
31,2,0,0,7,0,2,8,2,0,25.9829076167
32,6,0,0,8,1,1,4,1,0,10.2277057672
33,1,1,0,4,1,0,3,0,1,9.0062718526
34,0,0,0,4,1,1,9,6,0,2.03329855177
35,2,1,1,7,0,2,5,1,0,1.60854645196
36,4,1,0,5,1,1,3,3,1,0.221734710585
37,2,0,1,5,3,0,3,0,0,1.34515230648
38,1,1,0,5,0,0,3,5,0,7.62256799328
39,5,0,1,3,0,0,5,0,1,31.1130355379
40,0,0,0,3,2,1,4,1,1,5.85773497262
41,2,0,0,5,1,1,5,2,1,7.87550507827
42,1,1,0,2,1,0,6,2,1,3.70761678266
43,1,0,1,4,1,2,2,2,1,2.5837417261
44,4,0,0,4,0,0,4,0,2,31.8572463115
45,2,1,0,2,0,1,3,1,1,18.2771443099
46,3,0,0,1,1,0,4,0,2,15.4404286833
47,5,0,0,5,2,1,7,1,0,2.78788413242
48,4,0,0,2,0,0,2,0,3,28.4615550791
49,2,0,0,4,1,0,0,0,3,11.1430827139
50,8,0,1,5,1,2,4,0,1,0.184288478323
51,5,0,2,4,0,0,5,2,0,4.80193128512
52,1,0,1,3,1,0,4,0,1,14.4158990186
53,1,0,1,2,0,3,4,3,0,15.8561807731
54,3,0,1,1,3,1,3,1,1,0.414732291076
55,5,0,0,4,1,3,1,0,0,16.1157721372
56,1,0,0,5,0,0,3,3,1,34.4691198784
57,3,2,0,4,1,1,3,0,2,0.299818010049
58,4,0,1,6,0,0,5,1,1,16.7487567706
59,0,0,0,1,1,1,2,2,3,6.22327573777
60,2,1,1,1,1,0,1,1,3,0.259866820726
61,3,0,0,2,2,2,6,2,0,3.64389032161
62,3,0,0,4,2,0,3,1,2,2.64577463506
63,4,0,1,2,1,1,3,0,3,0.603957877198
64,2,1,0,5,0,1,5,1,0,20.0305937553
65,1,0,0,6,2,2,5,1,1,1.68141407417
66,6,1,0,6,2,0,1,0,0,2.11504882837
67,1,0,0,1,1,0,5,1,3,7.02780112041
68,3,0,0,1,0,0,4,1,3,23.8936206367
69,3,0,0,4,1,0,2,1,4,1.66105234652
70,0,1,1,1,1,0,1,0,1,8.42208561404
71,1,0,0,2,0,4,7,3,1,4.23357726913
72,3,1,0,3,2,3,5,1,1,0.14448704048
73,3,1,0,4,2,0,1,0,1,2.53213222454
74,4,1,0,3,1,2,1,1,1,1.89616179124
75,5,0,0,2,0,0,4,2,1,36.3045711093
76,6,0,0,4,1,2,2,0,1,10.7623751964
77,0,0,2,4,0,0,2,1,1,23.8075287222
78,3,0,0,3,1,0,1,2,2,8.8243538654
79,4,2,0,3,0,2,5,1,0,2.38631541892
80,0,0,1,2,0,0,1,1,2,33.44505417
81,5,0,0,1,3,1,3,1,0,2.75253824414
82,3,0,1,6,1,0,6,1,0,9.62312890473
83,4,0,0,2,1,2,4,3,1,2.82314784488
84,2,0,0,3,1,1,3,2,1,13.5755054077
85,2,2,0,1,0,0,1,1,0,16.7805906012
86,6,0,2,3,0,0,4,0,1,9.14444936611
87,4,1,0,10,0,1,0,0,0,17.3048629193
88,4,0,0,3,1,4,2,3,0,4.41702349974
89,4,0,0,3,0,1,2,2,1,34.5108231468
90,1,0,0,3,0,0,0,0,3,32.7470662921
91,1,2,1,1,2,0,8,0,0,0.235852773085
92,0,1,0,2,0,0,5,1,2,13.6010389705
93,5,0,0,4,2,1,6,0,2,0.760997369504
94,2,0,1,3,1,0,0,0,2,9.69350199704
95,1,2,0,3,1,1,6,2,1,0.139288249201
96,5,0,1,6,1,4,6,0,0,0.433819152632
97,4,0,0,5,2,0,5,4,1,0.496342973328
98,2,1,0,3,1,1,7,0,2,0.852240605011
99,8,0,0,2,1,3,5,1,0,7.23410400567
