,balls,bikes,blocks,books,coals,dolls,gloves,horses,trains,expected_weight
0,2,1,0,3,0,0,7,3,1,4.60899152537
1,3,1,0,5,0,1,2,0,2,6.35770043186
2,0,0,0,3,1,0,3,0,1,18.3626364675
3,4,0,0,5,1,2,7,4,0,0.879224128873
4,2,0,1,6,2,2,1,3,1,0.0
5,8,0,1,2,1,2,3,1,0,4.01358159702
6,1,0,0,3,1,0,2,3,2,8.76617129838
7,2,0,1,5,1,0,3,1,2,2.84500430583
8,4,1,0,0,1,0,6,0,1,6.96368431535
9,3,0,0,2,1,0,3,2,3,3.5127729756
10,1,1,1,1,1,0,1,2,3,0.0421024674856
11,0,0,0,2,0,0,6,3,2,24.8493202696
12,2,1,0,1,0,1,7,3,0,13.2559848924
13,6,1,0,3,1,0,4,1,0,6.34274309203
14,4,0,0,1,2,3,4,1,1,1.60396585687
15,6,1,0,4,1,0,6,3,0,1.3950557549
16,2,0,0,1,2,0,8,5,0,2.33960479179
17,6,0,0,2,0,3,3,3,1,4.35549062204
18,0,0,0,3,1,1,5,1,3,3.79548330755
19,6,0,0,2,2,0,7,0,2,1.94510001199
20,4,2,0,2,0,0,8,1,1,1.47135539424
21,4,0,0,8,0,2,2,0,2,10.4632804917
22,1,0,0,2,4,1,3,3,2,0.0462723514417
23,6,0,1,3,0,0,1,1,2,11.4436561835
24,7,1,0,6,3,2,2,0,0,0.0499754072735
25,3,1,0,7,1,0,3,1,3,0.273962312155
26,3,1,1,3,0,1,3,2,0,5.93921539437
27,2,0,1,3,0,3,4,1,1,9.39682186196
28,5,0,1,2,0,1,4,2,0,31.9948795798
29,2,1,0,2,1,1,0,0,2,5.14452700979
30,1,0,0,3,1,0,3,1,4,2.18899873504
31,1,0,0,4,3,2,5,0,3,0.0
32,3,1,0,1,0,1,7,2,1,6.82033007358
33,10,0,0,7,2,1,10,4,1,0.0
34,6,0,1,3,2,1,4,0,1,0.979877881756
35,5,1,1,0,0,0,5,1,1,4.46153459708
36,2,1,1,3,0,0,5,1,1,6.62382810444
37,5,1,0,7,0,0,9,0,1,4.61669728376
38,1,0,0,8,1,3,3,3,1,0.750963481753
39,3,1,1,5,0,1,3,0,1,3.8877677845
40,2,1,0,3,0,1,3,2,1,9.34263599209
41,6,0,0,1,2,2,2,0,3,0.326019218217
42,2,0,0,4,1,0,4,2,2,6.21466916637
43,1,1,0,3,3,2,3,0,1,0.221663584986
44,2,0,0,5,0,0,2,1,3,18.1863737377
45,4,0,1,1,0,0,1,3,1,26.7550246109
46,2,0,0,7,3,4,7,1,0,0.0872722582437
47,5,0,1,3,3,2,6,2,2,0.0
48,5,0,0,11,0,2,2,1,2,0.973667848011
49,2,0,1,1,4,2,6,3,1,0.0
50,1,0,0,2,1,0,3,1,3,7.73261222869
51,4,0,0,8,1,1,6,0,3,0.418053833007
52,0,1,0,4,2,3,0,1,2,0.0498191822291
53,3,0,1,0,1,0,4,2,1,9.85735184812
54,1,0,1,7,0,2,5,1,1,5.57611495674
55,4,1,0,2,1,5,5,1,0,0.635323170963
56,3,0,1,4,0,1,6,1,2,3.70744079861
57,3,0,0,4,2,0,3,1,2,2.753894889
58,2,0,0,4,1,0,2,1,3,5.19869159931
59,2,0,1,3,1,2,5,3,1,0.421929732941
60,5,2,1,3,2,1,4,0,1,0.0
61,6,0,0,1,0,1,1,1,4,2.83282160126
62,3,0,0,4,1,3,4,1,1,5.02227208001
63,2,1,0,6,1,0,3,3,0,3.42257305271
64,3,0,0,2,0,1,7,0,3,13.7323726022
65,0,0,1,5,0,2,3,1,1,21.7697164712
66,5,1,0,4,1,0,3,0,2,1.89128511844
67,3,1,0,4,3,3,1,1,0,0.0
68,3,0,0,8,3,0,6,0,2,0.26718470279
69,0,0,1,2,1,1,3,3,1,5.24210397774
70,1,0,0,2,0,1,2,1,5,2.07137786762
71,5,1,0,4,0,0,1,1,1,16.3253027122
72,3,1,1,3,1,0,1,0,1,3.34965606875
73,5,0,0,5,1,3,1,2,1,1.48669440153
74,4,1,0,4,1,1,3,1,1,2.09049694055
75,6,0,0,4,2,3,1,2,1,0.284865113301
76,1,1,0,3,3,3,0,1,0,0.307343943867
77,2,0,2,3,1,2,4,0,1,1.01003538981
78,2,0,1,2,1,0,8,2,1,4.95968589596
79,4,1,1,4,2,0,1,0,1,0.629429368227
80,2,0,0,4,2,2,6,3,2,0.226576962391
81,5,0,1,4,2,3,3,1,0,0.53134266603
82,2,0,2,6,3,1,3,0,2,0.0
83,3,1,0,6,0,1,0,1,2,3.84304044917
84,4,0,3,5,0,0,2,0,1,1.76144984026
85,3,0,0,3,2,0,3,0,2,3.70802179682
86,1,0,0,3,0,3,3,1,3,4.22782800941
87,1,1,1,2,1,0,3,1,1,3.00667617202
88,7,0,0,5,0,3,5,0,0,32.0422590731
89,9,1,0,5,0,2,3,0,0,6.27623305931
90,2,0,0,5,1,0,5,0,2,10.5610834852
91,2,1,0,7,0,0,3,2,4,0.0498432125008
92,4,0,0,5,3,3,2,0,1,0.500033814196
93,3,0,1,0,1,1,5,1,1,8.38724280573
94,9,0,0,5,0,2,3,2,0,17.4498116196
95,5,0,2,4,3,0,3,0,0,0.23800921628
96,2,0,0,5,1,4,2,2,1,2.08199706861
97,4,1,1,7,0,4,3,2,0,0.0
98,3,0,1,2,0,0,6,0,2,21.9877248014
99,3,2,0,4,0,0,1,1,0,10.5932337144
100,1,1,0,3,1,0,6,0,2,3.28629486261
101,3,0,1,2,1,0,2,2,1,9.19970443999
102,0,0,0,3,1,1,4,1,3,4.72895882129
103,1,1,0,3,1,0,4,0,0,14.1365496872
104,3,1,0,2,3,1,4,2,1,0.0426338685108
105,5,0,0,4,0,0,6,2,1,28.6059968663
106,6,1,1,3,1,0,4,0,0,2.94567833128
107,6,0,0,9,0,0,13,0,2,1.69173386736
108,6,2,0,5,0,1,5,1,1,0.23993616052
109,6,0,0,3,0,1,5,1,1,32.1691943248
110,3,1,1,3,0,2,5,0,0,7.88147776736
111,4,0,0,3,2,2,2,0,2,2.35230807358
112,5,1,0,2,1,2,2,1,0,4.81090530354
113,1,1,1,6,1,0,4,3,0,0.534155872786
114,1,2,0,4,2,0,3,1,1,0.0958355720933
115,1,0,0,3,2,1,1,2,1,5.240007043
116,0,0,0,3,0,0,1,2,3,24.2732028165
117,1,2,1,1,2,1,4,0,1,0.0983981610414
118,6,2,0,0,0,0,1,2,0,7.87920402814
119,3,3,0,3,2,0,1,0,1,0.0498019431796
120,1,2,0,4,1,0,1,2,1,0.704651037107
121,10,1,0,1,0,4,4,0,0,2.92860568817
122,3,0,0,1,0,1,2,3,1,35.3534157658
123,2,0,1,4,0,0,5,1,1,30.0586405679
124,1,1,0,2,2,2,4,0,2,0.448129446854
125,3,1,0,7,0,2,7,2,0,2.35610951845
126,0,1,0,5,0,0,1,3,0,24.280162618
127,1,1,0,0,1,3,5,4,2,0.0
128,2,0,2,5,1,3,2,0,1,0.195652236642
129,7,0,0,4,1,1,3,3,1,1.6018287409
130,2,1,0,1,0,0,4,3,0,24.8810780318
131,0,2,0,3,1,0,1,0,0,7.19498513005
132,1,0,0,3,1,5,2,4,0,1.32323053287
133,8,2,0,1,1,1,4,1,1,0.0964887236978
134,3,0,0,4,1,3,5,1,1,4.18291052682
135,4,1,0,2,0,1,2,1,0,26.5517398615
136,1,0,0,2,1,0,5,3,2,7.20100128483
137,2,0,1,2,0,1,1,5,1,4.6122553466
138,7,0,0,5,3,2,4,1,1,0.0
139,8,0,0,1,0,1,0,2,1,35.0640123014
140,5,0,1,3,2,2,3,0,2,0.138464111292
141,2,0,0,3,0,4,5,0,1,27.3428889221
142,8,1,1,0,0,2,1,1,1,0.97326169129
143,2,0,0,1,0,1,4,0,4,12.2435328365
144,3,0,0,4,1,1,3,2,1,10.2453097778
145,2,0,2,1,1,0,4,2,1,2.17223605141
146,7,0,2,6,0,0,2,1,0,8.36503970927
147,0,0,0,8,0,5,5,0,2,1.82739929347
148,5,1,0,7,0,0,3,0,2,4.0613815454
149,5,0,1,5,0,2,3,1,0,20.9712443598
150,7,1,0,5,1,0,7,4,0,0.0889962562339
151,4,1,1,2,1,2,6,0,0,1.44127353248
152,6,1,0,3,2,0,2,2,0,1.35807055158
153,1,2,0,4,0,0,3,0,2,2.45881995163
154,4,0,3,3,0,0,1,0,0,20.9805745507
155,3,0,0,6,1,1,9,3,0,5.26776190938
156,5,1,0,3,3,0,4,0,3,0.0
157,2,1,0,1,0,1,2,0,2,15.5197190749
158,3,1,0,6,0,0,4,1,2,3.63177732964
159,1,1,0,7,0,0,6,0,2,6.15768287847
160,2,0,1,4,4,1,4,1,0,0.0844765777016
161,2,1,0,1,0,2,6,1,2,2.64640029993
162,4,0,0,2,0,0,5,1,3,15.0355302654
163,8,0,1,1,0,4,2,0,0,17.1294910384
164,1,1,0,1,1,5,3,0,0,4.44011250718
165,3,0,1,2,0,2,6,1,2,2.4470426054
166,4,0,0,5,0,1,7,4,1,3.3792943941
167,7,0,0,2,0,2,4,3,1,5.95649806355
168,3,1,0,2,0,3,7,0,0,14.9132674925
169,0,0,0,3,1,3,3,3,1,5.58417151991
170,2,0,1,5,2,2,3,0,1,1.39238470669
171,1,0,0,2,0,1,2,1,2,33.503232622
172,3,0,1,1,2,1,0,0,0,7.74473388417
173,1,1,0,4,3,0,5,0,1,0.398862904474
174,1,0,0,2,1,2,2,3,1,9.23453979275
175,5,0,2,2,1,2,0,0,1,1.33628334543
176,1,1,0,3,0,0,0,0,1,29.0868177394
177,1,0,1,3,0,0,4,4,1,12.2392599631
178,2,2,0,3,1,0,0,0,1,2.75068878391
179,1,0,0,2,3,1,5,4,1,0.322631887338
180,3,1,0,4,2,2,7,4,0,0.0492915180444
181,2,0,0,1,0,2,1,0,2,34.373184632
182,1,0,2,1,0,1,2,1,1,22.2420668313
183,3,0,0,4,2,2,0,3,2,0.225231480309
184,3,1,1,3,1,0,6,1,1,1.04012541337
185,4,1,0,0,0,0,2,3,2,4.61050578796
186,4,0,0,4,3,2,5,1,2,0.0491129213061
187,4,2,0,3,2,1,0,0,0,0.780521446564
188,3,2,0,5,1,1,5,0,1,0.503521238331
189,6,2,0,3,0,0,1,0,0,10.4543772241
190,2,0,1,3,1,1,2,2,1,5.24973944002
191,7,1,1,7,0,1,5,0,0,1.3369586688
192,1,2,0,1,0,1,6,0,2,1.8209011208
193,2,1,0,1,1,0,3,4,3,0.092260872963
194,4,1,0,3,0,2,2,1,0,17.5480368263
195,1,1,0,2,0,1,4,3,2,1.98985977275
196,5,0,1,4,0,1,4,0,1,23.3307701955
197,4,0,0,1,3,4,3,2,1,0.0980896777912
198,1,1,0,0,1,3,2,1,1,4.50089993387
199,1,2,0,2,1,1,4,0,1,2.10802959368
200,2,0,2,4,0,0,1,1,1,17.3809590986
201,8,0,0,10,1,3,6,1,2,0.0
202,5,0,0,3,3,0,4,2,3,0.146024541808
203,3,1,0,1,0,2,2,0,0,29.1359639878
204,1,1,1,2,1,0,3,0,1,4.89680227837
205,4,0,0,3,2,0,6,0,4,0.271760023726
206,5,1,0,3,0,0,4,0,1,18.0561420166
207,3,2,1,1,1,0,3,0,1,0.486618604611
208,0,1,0,6,2,0,2,0,2,0.787093969257
209,4,1,1,3,1,0,3,0,0,5.90400094324
210,3,0,2,2,4,0,6,0,1,0.0
211,3,0,0,3,2,5,6,3,0,0.19413785015
212,4,0,0,4,2,0,4,1,2,1.90839622867
213,3,0,2,4,1,0,5,0,2,0.369921149384
214,7,0,0,6,1,0,0,0,2,8.46436392745
215,1,0,0,3,2,3,1,1,1,3.48102830449
216,5,0,0,5,2,0,2,1,3,0.455484000639
217,4,2,0,2,1,1,2,0,1,0.849979262927
218,0,0,2,2,2,1,8,0,2,0.0981086481103
219,7,0,0,7,1,0,2,1,1,8.1390064907
220,5,0,0,1,0,0,9,0,3,12.939322933
221,4,0,1,4,3,3,7,1,1,0.0
222,0,0,0,2,1,1,1,1,2,14.0101377861
223,5,0,1,6,2,0,2,1,0,3.41699830118
224,4,1,0,5,0,1,7,1,2,0.826605297871
225,3,2,1,3,2,0,1,0,1,0.0946818546451
226,2,1,0,3,1,1,6,1,3,0.188681143364
227,3,0,1,6,1,2,3,2,2,0.0
228,5,2,1,1,2,0,9,0,1,0.0
229,3,1,1,4,1,0,3,0,0,5.10519804137
230,5,0,1,10,4,0,5,0,0,0.0927765744914
231,3,0,0,1,1,1,5,2,3,1.3883842961
232,8,1,0,5,0,3,1,1,0,3.07395547817
233,2,0,0,7,1,0,2,2,2,4.11225753881
234,1,0,1,1,1,0,3,3,1,8.40152711711
235,1,1,1,2,2,1,8,3,0,0.0466647953278
236,13,0,0,8,4,1,11,2,0,0.0
237,2,0,1,4,1,0,3,0,3,1.98320172744
238,2,1,0,0,0,3,10,1,0,10.5443829675
239,1,0,1,6,2,2,0,1,2,0.0904536127891
240,0,1,0,3,2,0,6,1,4,0.0
241,2,0,0,4,1,5,4,2,0,3.38676097412
242,2,0,1,2,1,0,3,3,2,2.04870893464
243,5,0,1,3,0,0,6,2,1,10.3659642085
244,1,0,0,2,1,1,2,0,3,9.36467015287
245,2,0,0,5,3,2,6,0,3,0.0
246,3,1,1,3,1,0,5,1,1,0.786462806417
247,6,1,1,4,2,0,6,1,0,0.089998785033
248,2,0,1,4,1,0,4,2,2,1.53047234502
249,3,2,0,3,0,1,4,1,1,0.738296121266
250,9,0,0,4,0,0,2,2,2,7.129118478
251,3,1,0,2,2,0,2,1,2,0.459356164624
252,6,1,0,4,0,0,5,0,1,13.1535133001
253,4,0,0,0,1,2,5,2,1,8.52331532789
254,1,1,0,4,0,2,3,2,0,14.7961215799
255,1,1,0,5,1,4,5,2,2,0.0493195292802
256,3,1,0,1,0,1,5,0,1,20.4525973923
257,4,1,0,6,1,0,1,0,1,5.30870085527
258,1,2,0,2,3,1,6,1,0,0.206157091282
259,1,0,1,2,2,1,4,2,1,1.57344465132
260,8,0,0,1,2,3,3,2,0,1.62267394834
261,1,0,1,1,0,1,7,5,0,10.907282188
262,5,0,0,7,0,0,1,0,4,3.27596808882
263,2,0,0,2,2,2,7,1,0,4.70768664719
264,4,1,0,5,1,0,4,2,1,1.21784941815
265,3,0,1,6,0,1,2,0,3,2.55955373042
266,2,0,0,5,2,1,2,0,1,5.66054233627
267,0,0,0,3,1,0,1,2,2,12.5475674479
268,1,0,0,1,0,1,2,3,2,27.7891579954
269,4,0,1,2,1,1,4,0,2,2.84549479135
270,4,0,2,4,0,0,0,2,1,5.19716050213
271,1,0,0,3,1,0,6,1,2,9.96623935614
272,3,0,0,4,1,0,7,2,2,3.73990754255
273,3,0,0,2,1,0,2,4,2,3.23954308988
274,3,0,0,3,3,3,5,0,2,0.0871550159902
275,5,0,0,3,0,1,5,2,1,24.9989597745
276,5,1,1,3,0,0,0,0,1,12.2709204704
277,5,0,0,6,0,5,7,1,0,2.40198958163
278,2,0,0,7,0,1,5,0,3,7.19879942636
279,0,0,1,2,1,0,3,4,0,11.5472470462
280,2,0,0,3,0,1,6,2,1,32.5773955371
281,1,1,1,1,2,0,5,0,2,0.313026619055
282,3,0,0,0,0,0,3,3,3,12.6556599571
283,3,1,0,5,1,0,2,0,0,11.5141888265
284,6,1,0,1,0,1,6,0,0,23.6394935558
285,6,0,0,5,1,1,3,2,1,4.09304255346
286,3,1,0,2,1,5,5,2,0,0.191399563526
287,1,0,0,4,1,3,4,2,1,3.93924387036
288,3,0,0,3,1,0,3,3,1,11.6770502837
289,4,0,0,6,0,0,4,3,4,0.13679704261
290,5,1,0,6,0,1,7,0,0,11.890753984
291,5,0,0,2,0,1,5,1,3,5.81713526001
292,3,1,0,3,1,0,0,0,3,1.89735057294
293,1,0,0,1,2,0,4,0,3,3.81301563617
294,3,0,0,6,0,0,5,0,2,28.1449206472
295,4,0,1,5,0,4,6,2,0,0.0873773978884
296,5,1,0,4,0,5,6,0,0,1.77943265903
297,2,0,0,5,0,0,1,2,3,13.1555564672
298,5,0,0,1,1,3,2,1,2,2.4019480263
299,1,2,2,2,2,1,2,0,0,0.0914717390186
300,12,0,0,3,2,4,2,1,0,0.0970312743497
301,1,1,1,6,1,0,3,1,1,1.15158841065
302,7,0,0,4,0,0,1,2,5,0.0965369360687
303,2,0,0,4,4,0,3,3,2,0.0
304,1,0,1,7,0,0,2,2,2,6.03606542388
305,2,0,0,6,0,1,4,1,1,32.9815113192
306,0,0,1,5,1,1,7,3,3,0.0468007569556
307,6,0,1,1,0,1,4,1,1,19.0511470904
308,8,0,0,3,1,4,3,1,1,0.605375409609
